NAF Code,NAF French Name,NAF English Name,EXIOBASE Name,ADEME Name,Unit,EXIOBASE Monetary Factor,ADEME Monetary Factor
1051C,Fabrication de fromage,Manufacture of cheese,Dairy products,Processed foods and foodstuffs,kgCO2e/€,0.9808,1
1051D,Fabrication d'autres produits laitiers,Manufacture of other dairy products,Dairy products,Processed foods and foodstuffs,kgCO2e/€,0.9808,1
1052Z,Fabrication de glaces et sorbets,Manufacture of ice cream,Dairy products,Processed foods and foodstuffs,kgCO2e/€,0.9808,1
1061A,Meunerie,Flour milling,Processed rice,Processed foods and foodstuffs,kgCO2e/€,0.1156,1
1061B,Autres activités du travail des grains,Other manufacture of grain mill products,Processed rice,Processed foods and foodstuffs,kgCO2e/€,0.1156,1
1062Z,Fabrication de produits amylacés,Manufacture of starches and starch products,Processed rice,Processed foods and foodstuffs,kgCO2e/€,0.1156,1
1071A,Fabrication industrielle de pain et de pâtisserie fraîche,Industrial manufacture of bread and fresh pastry,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1071B,Cuisson de produits de boulangerie,Baking of bakery products,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1071C,Boulangerie et boulangerie-pâtisserie,Bakery and bakery confectionery,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1071D,Pâtisserie,Confectionery,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1072Z,"Fabrication de biscuits, biscottes et pâtisseries de conservation",Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1073Z,Fabrication de pâtes alimentaires,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1081Z,Fabrication de sucre,Manufacture of sugar,Sugar,Processed foods and foodstuffs,kgCO2e/€,0.3251,1
1082Z,"Fabrication de cacao, chocolat et de produits de confiserie","Manufacture of cocoa, chocolate and sugar confectionery",Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1083Z,Transformation du thé et du café,Processing of tea and coffee,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1084Z,Fabrication de condiments et assaisonnements,Manufacture of condiments and seasonings,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1085Z,Fabrication de plats préparés,Manufacture of prepared meals and dishes,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1086Z,Fabrication d'aliments homogénéisés et diététiques,Manufacture of homogenised food preparations and dietetic food,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1089Z,Fabrication d'autres produits alimentaires n.c.a.,Manufacture of other food products n.e.c.,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1091Z,Fabrication d'aliments pour animaux de ferme,Manufacture of prepared feeds for farm animals,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1092Z,Fabrication d'aliments pour animaux de compagnie,Manufacture of prepared pet foods,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1101Z,Production de boissons alcooliques distillées,"Distilling, rectifying and blending of spirits",Beverages,Processed foods and foodstuffs,kgCO2e/€,0.3487,1
1102A,Fabrication de vins effervescents,Manufacture of sparkling wines,Beverages,Processed foods and foodstuffs,kgCO2e/€,0.3487,1
1102B,Vinification,Wine-making,Beverages,Processed foods and foodstuffs,kgCO2e/€,0.3487,1
1103Z,Fabrication de cidre et de vins de fruits,Manufacture of cider and other fruit wines,Beverages,Processed foods and foodstuffs,kgCO2e/€,0.3487,1
1104Z,Production d'autres boissons fermentées non distillées,Manufacture of other non-distilled fermented beverages,Beverages,Processed foods and foodstuffs,kgCO2e/€,0.3487,1
1105Z,Fabrication de bière,Manufacture of beer,Beverages,Processed foods and foodstuffs,kgCO2e/€,0.3487,1
1106Z,Fabrication de malt,Manufacture of malt,Beverages,Processed foods and foodstuffs,kgCO2e/€,0.3487,1
1107A,Industrie des eaux de table,Production of mineral water,Beverages,Processed foods and foodstuffs,kgCO2e/€,0.3487,1
1107B,Production de boissons rafraîchissantes,Production of soft drinks,Beverages,Processed foods and foodstuffs,kgCO2e/€,0.3487,1
1200Z,Fabrication de produits à base de tabac,Manufacture of tobacco products,Tobacco products,,kgCO2e/€,0.1009,
1310Z,Préparation de fibres textiles et filature,Preparation and spinning of textile fibres,Textiles,Textiles and clothing,kgCO2e/€,0.2508,0.6
1320Z,Tissage,Weaving of textiles,Textiles,Textiles and clothing,kgCO2e/€,0.2508,0.6
1330Z,Ennoblissement textile,Finishing of textiles,Textiles,Textiles and clothing,kgCO2e/€,0.2508,0.6
1391Z,Fabrication d'étoffes à mailles,Manufacture of knitted and crocheted fabrics,Textiles,Textiles and clothing,kgCO2e/€,0.2508,0.6
1392Z,"Fabrication d'articles textiles, sauf habillement","Manufacture of made-up textile articles, except apparel",Textiles,Textiles and clothing,kgCO2e/€,0.2508,0.6
1393Z,Fabrication de tapis et moquettes,Manufacture of carpets and rugs,Textiles,Textiles and clothing,kgCO2e/€,0.2508,0.6
1394Z,"Fabrication de ficelles, cordes et filets","Manufacture of cordage, rope, twine and netting",Textiles,Textiles and clothing,kgCO2e/€,0.2508,0.6
1395Z,"Fabrication de non-tissés, sauf habillement","Manufacture of non-wovens and articles made from non-wovens, except apparel",Textiles,Textiles and clothing,kgCO2e/€,0.2508,0.6
1396Z,Fabrication d'autres textiles techniques et industriels,Manufacture of other technical and industrial textiles,Textiles,Textiles and clothing,kgCO2e/€,0.2508,0.6
1399Z,Fabrication d'autres textiles n.c.a.,Manufacture of other textiles n.e.c.,Textiles,Textiles and clothing,kgCO2e/€,0.2508,0.6
1411Z,Fabrication de vêtements en cuir,Manufacture of leather clothes,Wearing apparel/furs,Textiles and clothing,kgCO2e/€,0.2085,0.6
1412Z,Fabrication de vêtements de travail,Manufacture of workwear,Wearing apparel/furs,Textiles and clothing,kgCO2e/€,0.2085,0.6
1413Z,Fabrication de vêtements de dessus,Manufacture of other outerwear,Wearing apparel/furs,Textiles and clothing,kgCO2e/€,0.2085,0.6
1414Z,Fabrication de vêtements de dessous,Manufacture of underwear,Wearing apparel/furs,Textiles and clothing,kgCO2e/€,0.2085,0.6
1419Z,Fabrication d'autres vêtements et accessoires,Manufacture of other wearing apparel and accessories,Wearing apparel/furs,Textiles and clothing,kgCO2e/€,0.2085,0.6
1420Z,Fabrication d'articles en fourrure,Manufacture of articles of fur,Wearing apparel/furs,Textiles and clothing,kgCO2e/€,0.2085,0.6
1431Z,Fabrication d'articles chaussants à mailles,Manufacture of knitted and crocheted hosiery,Textiles,Textiles and clothing,kgCO2e/€,0.2508,0.6
1439Z,Fabrication d'autres articles à mailles,Manufacture of other knitted and crocheted apparel,Textiles,Textiles and clothing,kgCO2e/€,0.2508,0.6
1511Z,Apprêt et tannage des cuirs ; préparation et teinture des fourrures,Tanning and dressing of leather; dressing and dyeing of fur,Leather and leather products,Textiles and clothing,kgCO2e/€,0.2112,0.6
1512Z,"Fabrication d'articles de voyage, de maroquinerie et de sellerie","Manufacture of luggage, handbags and the like, saddlery and harness",Leather and leather products,Textiles and clothing,kgCO2e/€,0.2112,0.6
1520Z,Fabrication de chaussures,Manufacture of footwear,Leather and leather products,Textiles and clothing,kgCO2e/€,0.2112,0.6
1610A,"Sciage et rabotage du bois, hors imprégnation","Sawmilling and planing of wood, excluding impregnation",Wood and products of wood/cork/straw/plaiting materials,Wood and wood products,kgCO2e/€,0.1899,0.5
1610B,Imprégnation du bois,Impregnation of wood,Wood and products of wood/cork/straw/plaiting materials,Wood and wood products,kgCO2e/€,0.1899,0.5
1621Z,Fabrication de placage et de panneaux de bois,Manufacture of veneer sheets and wood-based panels,Wood and products of wood/cork/straw/plaiting materials,Wood and wood products,kgCO2e/€,0.1899,0.5
1622Z,Fabrication de parquets assemblés,Manufacture of assembled parquet floors,Wood and products of wood/cork/straw/plaiting materials,Wood and wood products,kgCO2e/€,0.1899,0.5
1623Z,Fabrication de charpentes et d'autres menuiseries,Manufacture of other builders' carpentry and joinery,Wood and products of wood/cork/straw/plaiting materials,Wood and wood products,kgCO2e/€,0.1899,0.5
1624Z,Fabrication d'emballages en bois,Manufacture of wooden containers,Wood and products of wood/cork/straw/plaiting materials,Wood and wood products,kgCO2e/€,0.1899,0.5
1629Z,"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",Wood and products of wood/cork/straw/plaiting materials,Wood and wood products,kgCO2e/€,0.1899,0.5
1711Z,Fabrication de pâte à papier,Manufacture of pulp,Pulp,Paper and cardboard,kgCO2e/€,0.2922,0.9
1712Z,Fabrication de papier et de carton,Manufacture of paper and paperboard,Pulp,Paper and cardboard,kgCO2e/€,0.2922,0.9
1721A,Fabrication de carton ondulé,Manufacture of corrugated paperboard,Paper and paper products,Paper and cardboard,kgCO2e/€,0.3326,0.9
1721B,Fabrication de cartonnages,Manufacture of paperboard and containers of paperboard,Paper and paper products,Paper and cardboard,kgCO2e/€,0.3326,0.9
1721C,Fabrication d'emballages en papier,Manufacture of containers of paper,Paper and paper products,Paper and cardboard,kgCO2e/€,0.3326,0.9
1722Z,Fabrication d'articles en papier à usage sanitaire ou domestique,Manufacture of household and sanitary goods and of toilet requisites,Paper and paper products,Paper and cardboard,kgCO2e/€,0.3326,0.9
1723Z,Fabrication d'articles de papeterie,Manufacture of paper stationery,Paper and paper products,Paper and cardboard,kgCO2e/€,0.3326,0.9
1724Z,Fabrication de papiers peints,Manufacture of wallpaper,Paper and paper products,Paper and cardboard,kgCO2e/€,0.3326,0.9
1729Z,Fabrication d'autres articles en papier ou en carton,Manufacture of other articles of paper and paperboard,Paper and paper products,Paper and cardboard,kgCO2e/€,0.3326,0.9
1811Z,Imprimerie de journaux,Printing of newspapers,Printed matter and recorded media,,kgCO2e/€,0.1425,
1812Z,Autre imprimerie (labeur),Other printing,Printed matter and recorded media,,kgCO2e/€,0.1425,
1813Z,Activités de pré-presse,Pre-press and pre-media services,Printed matter and recorded media,,kgCO2e/€,0.1425,
1814Z,Reliure et activités connexes,Binding and related services,Printed matter and recorded media,,kgCO2e/€,0.1425,
1820Z,Reproduction d'enregistrements,Reproduction of recorded media,Printed matter and recorded media,,kgCO2e/€,0.1425,
1910Z,Cokéfaction,Manufacture of coke oven products,Coke oven gas,,kgCO2e/€,0.4975,
1920Z,Raffinage du pétrole,Manufacture of refined petroleum products,Refinery feedstocks,,kgCO2e/€,,
2011Z,Fabrication de gaz industriels,Manufacture of industrial gases,Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2012Z,Fabrication de colorants et de pigments,Manufacture of dyes and pigments,Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2013A,Enrichissement et retraitement de matières nucléaires,Enrichment and reprocessing of nuclear fuel,Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2013B,Fabrication d'autres produits chimiques inorganiques de base n.c.a.,Manufacture of other inorganic basic chemicals n.e.c.,Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2014Z,Fabrication d'autres produits chimiques organiques de base,Manufacture of other organic basic chemicals,Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2015Z,Fabrication de produits azotés et d'engrais,Manufacture of fertilisers and nitrogen compounds,N fertiliser,Chemicals,kgCO2e/€,0.6799,1.6
2016Z,Fabrication de matières plastiques de base,Manufacture of plastics in primary forms,Plastics/basic,Chemicals,kgCO2e/€,0.2878,1.6
2017Z,Fabrication de caoutchouc synthétique,Manufacture of synthetic rubber in primary forms,Plastics/basic,Chemicals,kgCO2e/€,0.2878,1.6
2020Z,Fabrication de pesticides et d'autres produits agrochimiques,Manufacture of pesticides and other agrochemical products,Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2030Z,"Fabrication de peintures, vernis, encres et mastics","Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2041Z,"Fabrication de savons, détergents et produits d'entretien","Manufacture of soap and detergents, cleaning and polishing preparations",Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2042Z,Fabrication de parfums et de produits pour la toilette,Manufacture of perfumes and toilet preparations,Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2051Z,Fabrication de produits explosifs,Manufacture of explosives,Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2052Z,Fabrication de colles,Manufacture of glues,Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2053Z,Fabrication d'huiles essentielles,Manufacture of essential oils,Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2059Z,Fabrication d'autres produits chimiques n.c.a.,Manufacture of other chemical products n.e.c.,Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2060Z,Fabrication de fibres artificielles ou synthétiques,Manufacture of man-made fibres,Chemicals (not elsewhere specified),Chemicals,kgCO2e/€,0.4021,1.6
2110Z,Fabrication de produits pharmaceutiques de base,Manufacture of basic pharmaceutical products,Chemicals (not elsewhere specified),Pharmaceuticals,kgCO2e/€,0.4021,0.5
2120Z,Fabrication de préparations pharmaceutiques,Manufacture of pharmaceutical preparations,Chemicals (not elsewhere specified),Pharmaceuticals,kgCO2e/€,0.4021,0.5
2211Z,Fabrication et rechapage de pneumatiques,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,Rubber and plastic products,Plastics and rubber,kgCO2e/€,0.1736,0.8
2219Z,Fabrication d'autres articles en caoutchouc,Manufacture of other rubber products,Rubber and plastic products,Plastics and rubber,kgCO2e/€,0.1736,0.8
2221Z,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques","Manufacture of plastic plates, sheets, tubes and profiles",Rubber and plastic products,Plastics and rubber,kgCO2e/€,0.1736,0.8
2222Z,Fabrication d'emballages en matières plastiques,Manufacture of plastic packing goods,Rubber and plastic products,Plastics and rubber,kgCO2e/€,0.1736,0.8
2223Z,Fabrication d'éléments en matières plastiques pour la construction,Manufacture of builders' ware of plastic,Rubber and plastic products,Plastics and rubber,kgCO2e/€,0.1736,0.8
2229A,Fabrication de pièces techniques à base de matières plastiques,Manufacture of plastic-based technical parts,Rubber and plastic products,Plastics and rubber,kgCO2e/€,0.1736,0.8
2229B,Fabrication de produits de consommation courante en matières plastiques,Manufacture of common consumer goods of plastic products,Rubber and plastic products,Plastics and rubber,kgCO2e/€,0.1736,0.8
2311Z,Fabrication de verre plat,Manufacture of flat glass,Glass and glass products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.4039,1.8
2312Z,Façonnage et transformation du verre plat,Shaping and processing of flat glass,Glass and glass products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.4039,1.8
2313Z,Fabrication de verre creux,Manufacture of hollow glass,Glass and glass products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.4039,1.8
2314Z,Fabrication de fibres de verre,Manufacture of glass fibres,Glass and glass products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.4039,1.8
2319Z,"Fabrication et façonnage d'autres articles en verre, y compris verre technique","Manufacture and processing of other glass, including technical glassware",Glass and glass products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.4039,1.8
2320Z,Fabrication de produits réfractaires,Manufacture of refractory products,Ceramic goods,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5112,1.8
2331Z,Fabrication de carreaux en céramique,Manufacture of ceramic tiles and flags,Ceramic goods,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5112,1.8
2332Z,"Fabrication de briques, tuiles et produits de construction, en terre cuite","Manufacture of bricks, tiles and construction products, in baked clay",Bricks/tiles and construction products in baked clay,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5769,1.8
2341Z,Fabrication d'articles céramiques à usage domestique ou ornemental,Manufacture of ceramic household and ornamental articles,Ceramic goods,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5112,1.8
2342Z,Fabrication d'appareils sanitaires en céramique,Manufacture of ceramic sanitary fixtures,Ceramic goods,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5112,1.8
2343Z,Fabrication d'isolateurs et pièces isolantes en céramique,Manufacture of ceramic insulators and insulating fittings,Ceramic goods,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5112,1.8
2344Z,Fabrication d'autres produits céramiques à usage technique,Manufacture of other technical ceramic products,Ceramic goods,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5112,1.8
2349Z,Fabrication d'autres produits céramiques,Manufacture of other ceramic products,Ceramic goods,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5112,1.8
2351Z,Fabrication de ciment,Manufacture of cement,Cement/lime and plaster,"Mineral products (cement, glass, and so on)",kgCO2e/€,1.0684,1.8
2352Z,Fabrication de chaux et plâtre,Manufacture of lime and plaster,Cement/lime and plaster,"Mineral products (cement, glass, and so on)",kgCO2e/€,1.0684,1.8
2361Z,Fabrication d'éléments en béton pour la construction,Manufacture of concrete products for construction purposes,Other nonmetallic mineral products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5683,1.8
2362Z,Fabrication d'éléments en plâtre pour la construction,Manufacture of plaster products for construction purposes,Other nonmetallic mineral products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5683,1.8
2363Z,Fabrication de béton prêt à l'emploi,Manufacture of ready-mixed concrete,Other nonmetallic mineral products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5683,1.8
2364Z,Fabrication de mortiers et bétons secs,Manufacture of mortars,Other nonmetallic mineral products,"Mineral products (cement, glass, and so on)",kgCO2e/€,0.5683,1.8
